Total number of categories,Transaction Time,Current Time MS
608,1,1617567118241
609,0,1617567118242
610,1,1617567118244
611,0,1617567118246
612,1,1617567118249
613,1,1617567118251
614,1,1617567118253
615,0,1617567118254
616,1,1617567118256
617,1,1617567118258
618,1,1617567118260
619,0,1617567118261
620,1,1617567118263
621,0,1617567118264
622,1,1617567118266
623,1,1617567118268
624,0,1617567118269
625,1,1617567118271
626,1,1617567118273
627,1,1617567118275
628,1,1617567118277
629,1,1617567118279
630,0,1617567118280
631,1,1617567118282
632,1,1617567118284
633,0,1617567118285
634,1,1617567118287
635,0,1617567118288
636,1,1617567118290
637,1,1617567118292
638,0,1617567118293
639,0,1617567118295
640,1,1617567118297
641,0,1617567118299
642,1,1617567118302
643,1,1617567118304
644,1,1617567118306
645,1,1617567118308
646,1,1617567118310
647,0,1617567118311
648,1,1617567118313
649,1,1617567118315
650,1,1617567118318
651,1,1617567118320
652,1,1617567118322
653,1,1617567118325
654,1,1617567118327
655,1,1617567118329
656,1,1617567118332
657,1,1617567118334
658,1,1617567118337
659,1,1617567118340
660,1,1617567118342
661,1,1617567118344
662,1,1617567118347
663,1,1617567118349
664,1,1617567118351
665,1,1617567118353
666,1,1617567118355
667,1,1617567118357
668,1,1617567118359
669,1,1617567118361
670,1,1617567118363
671,1,1617567118365
672,1,1617567118367
673,1,1617567118369
674,1,1617567118371
675,1,1617567118373
676,1,1617567118375
677,1,1617567118377
678,1,1617567118379
679,1,1617567118381
680,1,1617567118383
681,1,1617567118385
682,1,1617567118387
683,0,1617567118389
684,1,1617567118392
685,1,1617567118394
686,1,1617567118396
687,1,1617567118398
688,1,1617567118400
689,1,1617567118402
690,0,1617567118403
691,1,1617567118406
692,0,1617567118407
693,0,1617567118409
694,1,1617567118412
695,1,1617567118414
696,1,1617567118416
697,1,1617567118418
698,0,1617567118420
699,1,1617567118422
700,1,1617567118424
701,1,1617567118427
702,1,1617567118429
703,1,1617567118431
704,1,1617567118433
705,1,1617567118435
706,1,1617567118437
707,1,1617567118440
708,0,1617567118442
709,1,1617567118444
710,0,1617567118446
711,4,1617567118452
712,1,1617567118456
713,1,1617567118458
714,1,1617567118461
715,1,1617567118465
716,1,1617567118467
717,0,1617567118469
718,0,1617567118471
719,1,1617567118474
720,1,1617567118477
721,1,1617567118479
722,0,1617567118480
723,0,1617567118482
724,0,1617567118484
725,1,1617567118486
726,1,1617567118488
727,0,1617567118489
728,1,1617567118491
729,0,1617567118492
730,0,1617567118494
731,1,1617567118496
732,0,1617567118497
733,1,1617567118499
734,1,1617567118501
735,0,1617567118502
736,1,1617567118504
737,0,1617567118505
738,1,1617567118507
739,1,1617567118509
740,0,1617567118510
741,1,1617567118512
742,0,1617567118513
743,0,1617567118515
744,1,1617567118517
745,0,1617567118518
746,1,1617567118520
747,1,1617567118522
748,1,1617567118524
749,1,1617567118526
750,1,1617567118528
751,1,1617567118530
752,1,1617567118532
753,1,1617567118534
754,0,1617567118535
755,1,1617567118537
756,1,1617567118539
757,1,1617567118541
758,1,1617567118543
759,1,1617567118545
760,1,1617567118547
761,0,1617567118548
762,0,1617567118550
763,1,1617567118552
764,1,1617567118554
765,1,1617567118556
766,0,1617567118557
767,0,1617567118559
768,1,1617567118562
769,1,1617567118564
770,1,1617567118566
771,1,1617567118568
772,1,1617567118570
773,0,1617567118572
774,0,1617567118574
775,0,1617567118576
776,1,1617567118579
777,1,1617567118581
778,1,1617567118583
779,1,1617567118585
780,1,1617567118587
781,1,1617567118589
782,1,1617567118591
783,1,1617567118593
784,1,1617567118595
785,0,1617567118596
786,1,1617567118598
787,1,1617567118600
788,0,1617567118601
789,0,1617567118603
790,1,1617567118605
791,0,1617567118606
792,1,1617567118608
793,1,1617567118610
794,1,1617567118613
795,1,1617567118615
796,1,1617567118617
797,0,1617567118618
798,1,1617567118620
799,1,1617567118622
800,0,1617567118623
801,1,1617567118625
802,1,1617567118627
803,1,1617567118629
804,0,1617567118630
805,1,1617567118632
806,1,1617567118637
807,0,1617567118638
808,0,1617567118640
809,1,1617567118642
810,0,1617567118643
811,1,1617567118645
812,1,1617567118647
813,0,1617567118648
814,1,1617567118650
815,1,1617567118652
816,1,1617567118654
817,0,1617567118655
818,0,1617567118657
819,1,1617567118659
820,1,1617567118661
821,1,1617567118663
822,1,1617567118665
823,0,1617567118666
824,0,1617567118668
825,1,1617567118670
826,1,1617567118672
827,1,1617567118675
828,0,1617567118677
829,1,1617567118679
830,1,1617567118681
831,1,1617567118683
832,0,1617567118684
833,1,1617567118686
834,1,1617567118688
835,0,1617567118689
836,1,1617567118691
837,1,1617567118693
838,1,1617567118695
839,0,1617567118696
840,1,1617567118698
841,1,1617567118700
842,0,1617567118701
843,0,1617567118703
844,1,1617567118705
845,1,1617567118707
846,1,1617567118709
847,0,1617567118710
848,1,1617567118712
849,1,1617567118714
850,1,1617567118716
851,1,1617567118718
852,0,1617567118719
853,1,1617567118721
854,1,1617567118723
855,1,1617567118725
856,1,1617567118727
857,3,1617567118731
858,1,1617567118733
859,1,1617567118736
860,0,1617567118737
861,0,1617567118739
862,1,1617567118741
863,1,1617567118743
864,0,1617567118744
865,1,1617567118746
866,1,1617567118748
867,1,1617567118750
868,1,1617567118752
869,0,1617567118753
870,0,1617567118755
871,0,1617567118757
872,1,1617567118759
873,1,1617567118761
874,1,1617567118763
875,1,1617567118765
876,0,1617567118766
877,1,1617567118768
878,1,1617567118770
879,1,1617567118772
880,1,1617567118774
881,1,1617567118776
882,1,1617567118778
883,1,1617567118781
884,0,1617567118783
885,1,1617567118785
886,1,1617567118787
887,1,1617567118789
888,0,1617567118790
889,1,1617567118792
890,1,1617567118794
891,1,1617567118796
892,0,1617567118797
893,1,1617567118799
894,1,1617567118801
895,0,1617567118802
896,0,1617567118804
897,1,1617567118806
898,1,1617567118808
899,1,1617567118810
900,1,1617567118812
901,0,1617567118813
902,0,1617567118815
903,1,1617567118817
904,1,1617567118819
905,1,1617567118821
906,1,1617567118823
907,1,1617567118825
908,0,1617567118827
909,1,1617567118830
910,0,1617567118831
911,1,1617567118833
912,1,1617567118835
913,1,1617567118837
914,1,1617567118839
915,0,1617567118840
916,0,1617567118842
917,0,1617567118844
918,0,1617567118846
919,1,1617567118848
920,1,1617567118850
921,1,1617567118852
922,0,1617567118853
923,1,1617567118855
924,1,1617567118857
925,1,1617567118859
926,0,1617567118860
927,1,1617567118862
928,1,1617567118864
929,1,1617567118866
930,0,1617567118867
931,0,1617567118869
932,1,1617567118871
933,1,1617567118873
934,1,1617567118875
935,0,1617567118876
936,1,1617567118878
937,1,1617567118880
938,1,1617567118882
939,1,1617567118884
940,0,1617567118885
941,0,1617567118887
942,1,1617567118889
943,1,1617567118891
944,1,1617567118893
945,0,1617567118894
946,1,1617567118896
947,1,1617567118898
948,1,1617567118900
949,0,1617567118901
950,0,1617567118903
951,1,1617567118905
952,0,1617567118907
953,1,1617567118909
954,1,1617567118911
955,1,1617567118913
956,0,1617567118914
957,0,1617567118916
958,0,1617567118918
959,1,1617567118921
960,0,1617567118922
961,0,1617567118924
962,1,1617567118926
963,1,1617567118928
964,1,1617567118930
965,0,1617567118931
966,0,1617567118933
967,1,1617567118935
968,1,1617567118937
969,1,1617567118939
970,0,1617567118940
971,0,1617567118942
972,1,1617567118944
973,1,1617567118946
974,0,1617567118947
975,1,1617567118949
976,1,1617567118951
977,1,1617567118953
978,0,1617567118954
979,0,1617567118956
980,1,1617567118958
981,1,1617567118960
982,1,1617567118962
983,1,1617567118964
984,0,1617567118965
985,0,1617567118967
986,0,1617567118969
987,1,1617567118971
988,1,1617567118973
989,1,1617567118975
990,1,1617567118977
991,1,1617567118979
992,0,1617567118980
993,0,1617567118982
994,1,1617567118984
995,1,1617567118986
996,1,1617567118988
997,0,1617567118989
998,0,1617567118991
999,1,1617567118993
