Total number of projects,Transaction Time,Current Time MS
714,0,1617584676181
715,1,1617584676181
716,1,1617584676182
717,0,1617584676183
718,1,1617584676183
719,1,1617584676184
720,1,1617584676185
721,1,1617584676186
722,1,1617584676187
723,0,1617584676188
724,1,1617584676188
725,0,1617584676189
726,1,1617584676189
727,0,1617584676190
728,1,1617584676190
729,0,1617584676191
730,1,1617584676191
731,1,1617584676192
732,0,1617584676193
733,1,1617584676193
734,0,1617584676194
735,1,1617584676194
736,1,1617584676195
737,0,1617584676196
738,1,1617584676196
739,1,1617584676197
740,0,1617584676198
741,1,1617584676198
742,1,1617584676199
743,1,1617584676200
744,0,1617584676201
745,1,1617584676201
746,0,1617584676202
747,1,1617584676202
748,0,1617584676203
749,1,1617584676203
750,1,1617584676204
751,0,1617584676205
752,1,1617584676205
753,1,1617584676206
754,0,1617584676207
755,1,1617584676207
756,1,1617584676208
757,0,1617584676209
758,1,1617584676209
759,1,1617584676210
760,0,1617584676211
761,1,1617584676211
762,1,1617584676212
763,0,1617584676213
764,1,1617584676213
765,1,1617584676214
766,1,1617584676215
767,1,1617584676216
768,1,1617584676217
769,0,1617584676218
770,1,1617584676218
771,1,1617584676219
772,1,1617584676220
773,1,1617584676221
774,1,1617584676222
775,0,1617584676223
776,1,1617584676223
777,1,1617584676224
778,1,1617584676225
779,1,1617584676226
780,0,1617584676227
781,1,1617584676227
782,1,1617584676228
783,1,1617584676229
784,0,1617584676230
785,1,1617584676230
786,1,1617584676231
787,1,1617584676232
788,1,1617584676233
789,0,1617584676234
790,1,1617584676234
791,1,1617584676235
792,1,1617584676236
793,1,1617584676237
794,1,1617584676238
795,0,1617584676239
796,1,1617584676239
797,1,1617584676240
798,1,1617584676241
799,1,1617584676242
800,1,1617584676243
801,1,1617584676244
802,1,1617584676245
803,1,1617584676246
804,1,1617584676247
805,1,1617584676248
806,0,1617584676249
807,1,1617584676249
808,1,1617584676250
809,1,1617584676251
810,1,1617584676252
811,0,1617584676253
812,1,1617584676253
813,1,1617584676254
814,1,1617584676255
815,0,1617584676256
816,1,1617584676256
817,1,1617584676257
818,1,1617584676258
819,0,1617584676259
820,1,1617584676259
821,1,1617584676260
822,1,1617584676261
823,0,1617584676262
824,0,1617584676263
825,1,1617584676263
826,0,1617584676264
827,1,1617584676264
828,0,1617584676265
829,0,1617584676266
830,1,1617584676266
831,0,1617584676267
832,1,1617584676267
833,0,1617584676268
834,1,1617584676268
835,1,1617584676269
836,0,1617584676270
837,1,1617584676270
838,1,1617584676271
839,0,1617584676272
840,1,1617584676272
841,0,1617584676273
842,1,1617584676273
843,0,1617584676274
844,1,1617584676274
845,1,1617584676275
846,0,1617584676276
847,1,1617584676276
848,1,1617584676277
849,1,1617584676278
850,0,1617584676279
851,1,1617584676279
852,0,1617584676280
853,1,1617584676280
854,1,1617584676281
855,0,1617584676282
856,1,1617584676282
857,1,1617584676283
858,0,1617584676284
859,1,1617584676284
860,0,1617584676285
861,1,1617584676285
862,0,1617584676286
863,1,1617584676286
864,1,1617584676287
865,0,1617584676288
866,0,1617584676288
867,1,1617584676288
868,0,1617584676289
869,1,1617584676289
870,1,1617584676290
871,0,1617584676291
872,1,1617584676291
873,0,1617584676292
874,1,1617584676292
875,0,1617584676293
876,1,1617584676293
877,0,1617584676294
878,1,1617584676294
879,1,1617584676295
880,0,1617584676296
881,1,1617584676296
882,0,1617584676297
883,1,1617584676297
884,0,1617584676298
885,1,1617584676298
886,1,1617584676299
887,0,1617584676300
888,1,1617584676300
889,0,1617584676301
890,1,1617584676301
891,0,1617584676302
892,1,1617584676302
893,0,1617584676303
894,1,1617584676303
895,0,1617584676304
896,1,1617584676304
897,1,1617584676305
898,0,1617584676306
899,1,1617584676306
900,0,1617584676307
901,1,1617584676307
902,1,1617584676308
903,0,1617584676309
904,1,1617584676309
905,0,1617584676310
906,1,1617584676310
907,0,1617584676311
908,1,1617584676311
909,0,1617584676312
910,1,1617584676312
911,1,1617584676313
912,0,1617584676314
913,1,1617584676314
914,0,1617584676315
915,1,1617584676315
916,0,1617584676316
917,1,1617584676316
918,0,1617584676317
919,1,1617584676317
920,0,1617584676318
921,1,1617584676318
922,0,1617584676319
923,1,1617584676319
924,0,1617584676320
925,1,1617584676320
926,0,1617584676321
927,1,1617584676321
928,0,1617584676322
929,1,1617584676322
930,0,1617584676323
931,1,1617584676323
932,0,1617584676324
933,1,1617584676324
934,0,1617584676325
935,1,1617584676325
936,0,1617584676326
937,1,1617584676326
938,0,1617584676327
939,1,1617584676327
940,0,1617584676328
941,1,1617584676328
942,0,1617584676329
943,1,1617584676329
944,0,1617584676330
945,1,1617584676330
946,0,1617584676331
947,1,1617584676331
948,0,1617584676332
949,1,1617584676332
950,0,1617584676333
951,0,1617584676333
952,1,1617584676333
953,0,1617584676334
954,1,1617584676334
955,0,1617584676335
956,1,1617584676335
957,0,1617584676336
958,1,1617584676336
959,0,1617584676337
960,1,1617584676337
961,0,1617584676338
962,1,1617584676338
963,0,1617584676339
964,5,1617584676339
965,1,1617584676344
966,0,1617584676345
967,1,1617584676345
968,0,1617584676346
969,1,1617584676346
970,0,1617584676347
971,1,1617584676347
972,3,1617584676348
973,1,1617584676351
974,0,1617584676352
975,1,1617584676352
976,1,1617584676353
977,0,1617584676354
978,1,1617584676354
979,0,1617584676355
980,1,1617584676355
981,1,1617584676356
982,0,1617584676357
983,1,1617584676357
984,0,1617584676358
985,1,1617584676358
986,0,1617584676359
987,1,1617584676359
988,0,1617584676360
989,0,1617584676360
990,1,1617584676360
991,0,1617584676361
